BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,OTHER SERVICES,93658,24384
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,146381.18,58929.67
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,5923479.35,1616781.39
,OFFICE OF THE MINORITY LEADER,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,5931929.27,1616781.39
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1766608.61,483441.54
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,15123.67,1028.04
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,28.45,0
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,39609.36,26348.24
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1821370.09,510817.82
,OFFICE OF THE MAJORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,1821370.09,510817.82
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2249037.73,584808.72
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,1039.88,368.81
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,271.36,248.41
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,38.85,25.9
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,OTHER SERVICES,74.01,0
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,169.79,0
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2250631.62,585451.84
,OFFICE OF THE MINORITY WHIP,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,2250631.62,585451.84
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1334669.37,411789.79
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,3496.73,89.65
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,1153.78,0
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,279.16,179.16
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,OTHER SERVICES,1154.11,230.5
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,71340.45,13321.45
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1412093.6,425610.55
,DEMOCRATIC CAUCUS,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,1412093.6,425610.55
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1266429.12,346522.95
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,TRAVEL,12116.73,3897.2
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,8927.29,1997.5
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,25854.39,6117.42
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,OTHER SERVICES,41150,0
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,108215.56,32302.78
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1462693.09,390837.85
,REPUBLICAN CONFERENCE,2016,2016Q4,GENERAL EXPENDITURES,OFFICE TOTALS:,1462693.09,390837.85
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,14809205.15,14809205.15
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,62.5,62.5
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,15,15
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,14809282.65,14809282.65
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,20955.6,20955.6
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TRADITIONAL FURNITURE,EQUIPMENT,5215.67,5215.67
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TRADITIONAL FURNITURE,TRADITIONAL FURNITURE TOTALS:,26171.27,26171.27
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,TRAVEL,16588.25,16588.25
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,163080.13,163080.13
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,PRINTING AND REPRODUCTION,9225.29,9225.29
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,OTHER SERVICES,24986.41,24986.41
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,SUPPLIES AND MATERIALS,132383.37,132383.37
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,EQUIPMENT,72049.12,72049.12
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ADMIN AND OPS,ADMIN AND OPS TOTALS:,418312.57,418312.57
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,488968.18,488968.18
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,6783.17,6783.17
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,495751.35,495751.35
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SAFETY PROGRAM,OTHER SERVICES,3848.75,3848.75
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,677.9,677.9
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,4526.65,4526.65
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WEB SOLUTIONS,RENT COMMUNICATION UTILITIES,17.36,17.36
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WEB SOLUTIONS,OTHER SERVICES,18276.98,18276.98
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WEB SOLUTIONS,SUPPLIES AND MATERIALS,188,188
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,18482.34,18482.34
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,PEOPLESOFT FINANCIALS,OTHER SERVICES,8853.6,8853.6
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,PEOPLESOFT FINANCIALS,EQUIPMENT,30494.46,30494.46
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,39348.06,39348.06
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,REMEDY/CTS ACTIVITY,EQUIPMENT,2464.57,2464.57
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,2464.57,2464.57
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE STORAGE SYSTEMS,SUPPLIES AND MATERIALS,2121.68,2121.68
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE STORAGE SYSTEMS,ENTERPRISE STORAGE SYSTEMS TOTALS:,2121.68,2121.68
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,328909.56,328909.56
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,328909.56,328909.56
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,6366.4,6366.4
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SEAT MANAGEMENT,EQUIPMENT,30099.25,30099.25
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,36465.65,36465.65
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,8892.21,8892.21
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,8892.21,8892.21
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TELEPHONE OPERATORS,OTHER SERVICES,370575,370575
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,370575,370575
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,121479.5,121479.5
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,121479.5,121479.5
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE STORAGE AND BACKUPS,EQUIPMENT,35303.95,35303.95
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,ENTERPRISE STORAGE AND BACKUPS,ENTERPRISE STORAGE AND BACKUPS TOTALS:,35303.95,35303.95
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,769.77,769.77
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,HRS FLOOR COVERAGE,EQUIPMENT,1761.3,1761.3
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,2531.07,2531.07
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,10.62,10.62
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,10.62,10.62
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TELECOMMUNICATIONS,RENT COMMUNICATION UTILITIES,1873.66,1873.66
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TELECOMMUNICATIONS,EQUIPMENT,104527.12,104527.12
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,106400.78,106400.78
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,NETWORK SERVICES,EQUIPMENT,6825.39,6825.39
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,NETWORK SERVICES,NETWORK SERVICES TOTALS:,6825.39,6825.39
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WIDE AREA NETWORK,RENT COMMUNICATION UTILITIES,382870.66,382870.66
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,382870.66,382870.66
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAMPUS NETWORKING,OTHER SERVICES,30172.99,30172.99
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAMPUS NETWORKING,EQUIPMENT,455,455
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,30627.99,30627.99
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,BENEFITS AND COMPENSATION,EQUIPMENT,202061.97,202061.97
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,202061.97,202061.97
,CHIEF ADMIN OFCR OF THE HOUSE,2016,2016Q4,BENEFITS AND COMPENSATION,OFFICE TOTALS:,17449415.49,17449415.49
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,4844158.86,4844158.86
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,TRAVEL,2830.9,2830.9
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,29654.1,29654.1
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2751.56,2751.56
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,146997.27,146997.27
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,58424.04,58424.04
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,45618.79,45618.79
,CLERK OF THE HOUSE,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,5130435.52,5130435.52
,CLERK OF THE HOUSE,2016,2016Q4,FAMILY ROOM,SUPPLIES AND MATERIALS,163.17,163.17
,CLERK OF THE HOUSE,2016,2016Q4,FAMILY ROOM,FAMILY ROOM TOTALS:,163.17,163.17
,CLERK OF THE HOUSE,2016,2016Q4,FAMILY ROOM,OFFICE TOTALS:,5130598.69,5130598.69
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,268986.95,268986.95
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,TRAVEL,900.57,900.57
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,1270.75,1270.75
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2085.95,2085.95
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OTHER SERVICES,24588.06,24588.06
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,6921.03,6921.03
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,3097.87,3097.87
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,307851.18,307851.18
,OFFICE OF GENERAL COUNSEL,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OFFICE TOTALS:,307851.18,307851.18
,SERGEANT AT ARMS,2016,2016Q4,PERSONNEL,PERSONNEL COMPENSATION,2322534.05,2322534.05
,SERGEANT AT ARMS,2016,2016Q4,PERSONNEL,PERSONNEL TOTALS:,2322534.05,2322534.05
,SERGEANT AT ARMS,2016,2016Q4,PERSONNEL,OFFICE TOTALS:,2322534.05,2322534.05
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,311824.98,311824.98
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,4169.73,4169.73
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,6.4,6.4
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,615.49,615.49
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,1176,1176
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,317792.6,317792.6
,OFFICE OF THE PARLIAMENTARIAN,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OFFICE TOTALS:,317792.6,317792.6
,COMPILATION OF PRECEDENTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,116000.01,116000.01
,COMPILATION OF PRECEDENTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,116000.01,116000.01
,COMPILATION OF PRECEDENTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OFFICE TOTALS:,116000.01,116000.01
,TECHNICAL ASSISTANTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,116026.77,116026.77
,TECHNICAL ASSISTANTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,SALARIES OFFICERS & EMPLOYEES TOTALS:,116026.77,116026.77
,TECHNICAL ASSISTANTS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,OFFICE TOTALS:,116026.77,116026.77
,FORMER SPEAKER'S STAFF,2016,2016Q4,FORMER SPEAKER BOEHNER,PERSONNEL COMPENSATION,26414.34,26414.34
,FORMER SPEAKER'S STAFF,2016,2016Q4,FORMER SPEAKER BOEHNER,RENT COMMUNICATION UTILITIES,1475.89,1475.89
,FORMER SPEAKER'S STAFF,2016,2016Q4,FORMER SPEAKER BOEHNER,SUPPLIES AND MATERIALS,98.58,98.58
,FORMER SPEAKER'S STAFF,2016,2016Q4,FORMER SPEAKER BOEHNER,FORMER SPEAKER BOEHNER TOTALS:,27988.81,27988.81
,FORMER SPEAKER'S STAFF,2016,2016Q4,FORMER SPEAKER BOEHNER,OFFICE TOTALS:,27988.81,27988.81
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,TRAINING PERSONNEL & DEVELOP,TRAVEL,4181.12,4181.12
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,TRAINING PERSONNEL & DEVELOP,OTHER SERVICES,9838.5,9838.5
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,TRAINING PERSONNEL & DEVELOP,TRAINING PERSONNEL & DEVELOP TOTALS:,14019.62,14019.62
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,PERSONNEL COMPENSATION,91361.32,91361.32
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,13153.62,13153.62
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,PRINTING AND REPRODUCTION,99.85,99.85
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,OTHER SERVICES,12342,12342
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,SUPPLIES AND MATERIALS,2033.75,2033.75
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,EQUIPMENT,1710,1710
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,ADMIN AND OPS,ADMIN AND OPS TOTALS:,120700.54,120700.54
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,PERSONNEL COMPENSATION,700828.78,700828.78
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,TRAVEL,225.04,225.04
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,OTHER SERVICES,1125,1125
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,SUPPLIES AND MATERIALS,1766.2,1766.2
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,AUDIT ADVISORY INVESTIGATION TOTALS:,703945.02,703945.02
,OFFICE OF INSPECTOR GENERAL,2016,2016Q4,AUDIT ADVISORY INVESTIGATION,OFFICE TOTALS:,838665.18,838665.18
,LAW REVISION COUNSEL,2016,2016Q4,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,1152.84,1152.84
,LAW REVISION COUNSEL,2016,2016Q4,ADMIN AND OPS,OTHER SERVICES,2232,2232
,LAW REVISION COUNSEL,2016,2016Q4,ADMIN AND OPS,SUPPLIES AND MATERIALS,4476.2,4476.2
,LAW REVISION COUNSEL,2016,2016Q4,ADMIN AND OPS,EQUIPMENT,705,705
,LAW REVISION COUNSEL,2016,2016Q4,ADMIN AND OPS,ADMIN AND OPS TOTALS:,8566.04,8566.04
,LAW REVISION COUNSEL,2016,2016Q4,USC CODIFICATION & MAINTENANCE,PERSONNEL COMPENSATION,509088.03,509088.03
,LAW REVISION COUNSEL,2016,2016Q4,USC CODIFICATION & MAINTENANCE,USC CODIFICATION & MAINTENANCE TOTALS:,509088.03,509088.03
,LAW REVISION COUNSEL,2016,2016Q4,USC CODIFICATION & MAINTENANCE,OFFICE TOTALS:,517654.07,517654.07
,LEGISLATIVE COUNSEL,2016,2016Q4,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,5930.23,5930.23
,LEGISLATIVE COUNSEL,2016,2016Q4,ADMIN AND OPS,OTHER SERVICES,2646.66,2646.66
,LEGISLATIVE COUNSEL,2016,2016Q4,ADMIN AND OPS,SUPPLIES AND MATERIALS,5440.99,5440.99
,LEGISLATIVE COUNSEL,2016,2016Q4,ADMIN AND OPS,EQUIPMENT,3250.74,3250.74
,LEGISLATIVE COUNSEL,2016,2016Q4,ADMIN AND OPS,ADMIN AND OPS TOTALS:,17268.62,17268.62
,LEGISLATIVE COUNSEL,2016,2016Q4,DRAFTING LEGISLATION,PERSONNEL COMPENSATION,2082055.66,2082055.66
,LEGISLATIVE COUNSEL,2016,2016Q4,DRAFTING LEGISLATION,DRAFTING LEGISLATION TOTALS:,2082055.66,2082055.66
,LEGISLATIVE COUNSEL,2016,2016Q4,DRAFTING LEGISLATION,OFFICE TOTALS:,2099324.28,2099324.28
,INTERPARLIAMENTARY AFFAIRS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,75069.44,75069.44
,INTERPARLIAMENTARY AFFAIRS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,RENT COMMUNICATION UTILITIES,753.96,753.96
,INTERPARLIAMENTARY AFFAIRS,2016,2016Q4,SALARIES OFFICERS & EMPLOYEES,EQUIPMENT,570,570
