BIOGUIDE_ID,OFFICE,YEAR,QUARTER,CATEGORY,YTD,AMOUNT
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"-14,931.30",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"6,566.25","2,142.80"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"96,601.33","57,845.56"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"635,024.07","228,732.06"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"1,250.00","1,250.00"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"412,505.87",0.00
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"37,282.95","32,452.95"
,CHIEF ADMIN OFCR OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"130,417.88","5,389.74"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"13,954,079.21","4,676,499.10"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,TRAVEL,"21,636.55","14,677.98"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,TRANSPORTATION OF THINGS,"3,931.64","2,300.00"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","100,897.19","38,524.06"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"13,635.70","3,363.82"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"779,742.09","413,080.32"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"271,386.04","35,458.61"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"522,346.34","224,655.28"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"9,667.91",333.73
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"905,063.72","299,382.35"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,TRAVEL,"6,275.28","2,990.08"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","5,390.52","2,025.27"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"4,358.85","2,232.25"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"103,963.49","7,311.00"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"34,128.55","12,027.23"
,OFFICE OF GENERAL COUNSEL,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"6,588.05","2,295.98"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"5,342,534.27","1,938,979.18"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"845,116.64","271,516.65"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","18,084.16","7,138.78"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,91.49,61.99
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"3,260.72","2,507.97"
,OFFICE OF THE PARLIAMENTARIAN,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"16,282.00","13,930.00"
,COMPILATION OF PRECEDENTS,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"329,499.93","111,499.98"
,TECHNICAL ASSISTANTS,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"325,580.31","108,526.77"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,TRAVEL,"9,426.25","2,840.32"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES",13.44,0.00
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"27,720.07","13,975.73"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"260,257.47","86,881.02"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,TRAVEL,"1,678.24","1,653.56"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","30,342.66","15,845.39"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,94.80,41.90
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"40,298.51","15,329.16"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"9,938.61","2,423.22"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"12,224.22","8,804.22"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"2,064,022.05","692,947.94"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,TRAVEL,"1,946.77",60.64
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","2,810.00","1,890.00"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"2,283.83",301.06
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"15,089.28","13,650.00"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"6,533.73","-2,398.06"
,OFFICE OF INSPECTOR GENERAL,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"4,667.49","4,667.49"
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","5,627.94","1,998.42"
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,340.00,0.00
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"94,809.50","87,869.50"
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"19,795.08","9,630.27"
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"5,590.15","4,180.15"
,LAW REVISION COUNSEL,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"1,580,683.40","540,315.78"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,TRAVEL,743.79,0.00
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","29,140.09","10,700.04"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,"1,083.25",59.90
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"50,094.79","14,223.57"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"27,088.13","4,540.07"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"35,873.52","10,422.78"
,LEGISLATIVE COUNSEL,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"5,812,229.34","1,958,145.56"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"237,808.05","82,436.01"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","2,192.22",795.90
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,68.80,56.00
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"79,044.08","55,982.92"
,INTERPARLIAMENTARY AFFAIRS,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"1,710.00",570.00
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"1,636,786.54","333,202.63"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"13,784.52",0.00
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"212,829.27","212,829.27"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"667,751.67","167,997.33"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"670,505.82",0.00
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"165,000.41",0.00
,ENTERPRISE OPERATIONS,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"615,029.88","115,200.00"
,ENTERPRISE OPERATIONS,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"7,547,194.53",0.00
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"69,685.75","21,805.55"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"76,768.12","3,613.12"
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"18,950.00",0.00
,CLERK OF THE HOUSE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"135,336.48","20,845.43"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,PERSONNEL COMPENSATION,"735,102.28","125,484.51"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,TRAVEL,"27,049.91","10,087.96"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","110,787.45","38,843.96"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,937.41,354.15
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"314,730.42","267,561.84"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"47,558.02","16,516.97"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"124,905.67","22,324.13"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,TRAVEL,"12,270.82",0.00
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","154,730.22",0.00
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,PRINTING AND REPRODUCTION,476.90,0.00
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"454,096.90","88,515.59"
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"165,001.19",0.00
,SERGEANT AT ARMS,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"54,246.48",0.00
,EMD,FISCAL YEAR 2015,2015Q2,TRAVEL,"4,456.12",0.00
,EMD,FISCAL YEAR 2015,2015Q2,TRAVEL,281.61,0.00
,EMD,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","-154,730.22",0.00
,EMD,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"819,472.68","134,811.37"
,EMD,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"2,523.49",0.00
,EMD,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"23,925.41",0.00
,CAO IMMEDIATE OFFICE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"60,663.91","39,210.29"
,CAO ADVANCED BUSINESS SOLUTION,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"48,547.61","34,765.45"
,FINANCE IMMEDIATE OFFICE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"19,190.90","15,620.50"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","203,961.42","29,453.42"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"47,805.30","8,115.30"
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"1,576.00",0.00
,TECHNOLOGY INFRASTRUCTURE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"15,607.00",0.00
,TECHNOLOGY SUPPORT,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","28,884.06",0.00
,TECHNOLOGY SUPPORT,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"238,955.23","35,066.11"
,TECHNOLOGY SUPPORT,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"2,229.70",0.00
,IMMEDIATE OFFICE,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"251,207.60",0.00
,IMMEDIATE OFFICE,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"102,844.12",0.00
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2015,2015Q2,"RENT, COMMUNICATION, UTILITIES","4,308.88",0.00
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2015,2015Q2,OTHER SERVICES,"732,820.86","97,434.81"
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2015,2015Q2,SUPPLIES AND MATERIALS,"14,684.29",350.12
,FURNISHINGS & LOGISTICS,FISCAL YEAR 2015,2015Q2,EQUIPMENT,"123,489.05",115.00
,NEW MEMBER ORIENTATION,FISCAL YEAR 2015,2015Q2,FRANKED MAIL,19.20,0.00
