BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,261.16,94.29
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2194.23,854.5
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,41140,25884
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,54863.14,20750.4
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,2847060.07,1482364.58
,OFFICE OF THE MINORITY LEADER,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,2848064.49,1483369
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,805153.68,408616.82
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,6085.05,4926.85
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,10,0
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2336.39,2120.33
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,634,49
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3249.95,1578.15
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,817469.07,417291.15
,OFFICE OF THE MAJORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,817469.07,417291.15
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1062950,543731.34
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,36.76,36.76
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,24.99,24.99
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,341.76,195.3
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,99,99
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,687.95,687.95
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1064140.46,544775.34
,OFFICE OF THE MINORITY WHIP,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,1064140.46,544775.34
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,440879.49,230325.92
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,2111.17,113.63
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,64.13,36.63
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1336.87,895.37
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,1043.93,0
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,62088.25,28884.54
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,507523.84,260256.09
,DEMOCRATIC CAUCUS,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,507523.84,260256.09
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,591076.21,311301.29
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,TRAVEL,1305.08,663.01
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,203.08,203.08
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,11652.14,9748.91
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,OTHER SERVICES,320.99,320.99
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,59140.59,38034.67
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,663698.09,360271.95
,REPUBLICAN CONFERENCE,2017,2017Q2,GENERAL EXPENDITURES,OFFICE TOTALS:,663698.09,360271.95
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MICROSOFT ENTERPRISE LICENSES,EQUIPMENT,2346359,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MICROSOFT ENTERPRISE LICENSES,MICROSOFT ENTERPRISE LICENSES TOTALS:,2346359,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,46235233.36,15711115.58
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,0,-62.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,0,-335
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,0,-10
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,46235233.36,15710708.08
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,RECEPTIONS,SUPPLIES AND MATERIALS,793.88,793.88
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,RECEPTIONS,RECEPTIONS TOTALS:,793.88,793.88
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TRADITIONAL FURNITURE,TRANSPORTATION OF THINGS,2620,2620
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,196598.01,101243.93
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TRADITIONAL FURNITURE,EQUIPMENT,320959.66,191368.31
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TRADITIONAL FURNITURE,TRADITIONAL FURNITURE TOTALS:,520177.67,295232.24
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,TRAVEL,107232.34,48336.59
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,TRANSPORTATION OF THINGS,525.64,525.64
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,634917.13,237224.41
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,PRINTING AND REPRODUCTION,34193.89,13349.29
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,OTHER SERVICES,649173.59,379783.88
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,SUPPLIES AND MATERIALS,759068.07,259558.08
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,EQUIPMENT,450581.76,234687.84
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ADMIN AND OPS,ADMIN AND OPS TOTALS:,2635692.42,1173465.73
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,17146.53,10142.01
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,1760828.48,508744.12
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,76340.31,34810.27
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,1854315.32,553696.4
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,BANQUET ROOM AUDIO/VISUAL,OTHER SERVICES,10589.4,10589.4
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,BANQUET ROOM AUDIO/VISUAL,BANQUET ROOM AUDIO/VISUAL TOTALS:,10589.4,10589.4
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SAFETY PROGRAM,PRINTING AND REPRODUCTION,77.18,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SAFETY PROGRAM,OTHER SERVICES,9343.75,3346
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,1930.86,456.27
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,11351.79,3802.27
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WEB SOLUTIONS,RENT  COMMUNICATION  UTILITIES,160.6,71.2
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WEB SOLUTIONS,OTHER SERVICES,108658.3,64200.06
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WEB SOLUTIONS,SUPPLIES AND MATERIALS,188,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WEB SOLUTIONS,EQUIPMENT,51507.09,23011.36
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,160513.99,87282.62
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,PEOPLESOFT FINANCIALS,OTHER SERVICES,326996.67,227934.18
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,PEOPLESOFT FINANCIALS,EQUIPMENT,76255.36,31222.14
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,403252.03,259156.32
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,REMEDY/CTS ACTIVITY,EQUIPMENT,33086.29,25657.31
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,33086.29,25657.31
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE SYSTEMS,SUPPLIES AND MATERIALS,2121.68,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE SYSTEMS,EQUIPMENT,213747.81,174174.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE SYSTEMS,ENTERPRISE STORAGE SYSTEMS TOTALS:,215869.49,174174.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,395413,30000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE TECHNOLOGY SYSTEMS,SUPPLIES AND MATERIALS,147.84,147.84
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,424609.24,95699.68
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,820170.08,125847.52
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,6366.4,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SEAT MANAGEMENT,EQUIPMENT,83925.95,53826.7
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,90292.35,53826.7
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,193000,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,193000,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,393.67,393.67
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,486282.41,468497.99
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MAIL AND PACKAGE DELIVERY,EQUIPMENT,84246.77,84246.77
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,570922.85,553138.43
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,FEDERAL OFFICE BUILDING 8,EQUIPMENT,3237.57,3237.57
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,FEDERAL OFFICE BUILDING 8,FEDERAL OFFICE BUILDING 8 TOTALS:,3237.57,3237.57
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,DIGITAL MAIL,OTHER SERVICES,217405.75,217405.75
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,DIGITAL MAIL,DIGITAL MAIL TOTALS:,217405.75,217405.75
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELEPHONE OPERATORS,OTHER SERVICES,644095,273520
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,644095,273520
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,2022.57,2022.57
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,2022.57,2022.57
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE AUTH & MONITORING,EQUIPMENT,18593.75,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE AUTH & MONITORING,ENTERPRISE AUTH & MONITORING TOTALS:,18593.75,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE MOBILITY AND E-FAX,OTHER SERVICES,19585,19585
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,135512.38,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,155097.38,19585
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE AND BACKUPS,OTHER SERVICES,149489.87,70391.03
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE AND BACKUPS,EQUIPMENT,558588.01,257184.66
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,ENTERPRISE STORAGE AND BACKUPS,ENTERPRISE STORAGE AND BACKUPS TOTALS:,708077.88,327575.69
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,34051.06,34051.06
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,34051.06,34051.06
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,12965.82,807.85
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HRS FLOOR COVERAGE,EQUIPMENT,17346.3,12105
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,30312.12,12912.85
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HOUSE RECORDING STUDIO OPS,OTHER SERVICES,85000,85000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,3583.21,909.9
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HOUSE RECORDING STUDIO OPS,EQUIPMENT,7999.92,4381.92
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,96583.13,90291.82
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,14114.86,6770.58
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELECOMMUNICATIONS,OTHER SERVICES,46082,10296
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELECOMMUNICATIONS,EQUIPMENT,731689.84,313581.36
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,791886.7,330647.94
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,NETWORK SERVICES,TRAVEL,5000,5000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,NETWORK SERVICES,OTHER SERVICES,92021.68,57088.41
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,NETWORK SERVICES,SUPPLIES AND MATERIALS,52542.63,47942.61
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,NETWORK SERVICES,EQUIPMENT,2324533.38,1071699.96
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,NETWORK SERVICES,NETWORK SERVICES TOTALS:,2474097.69,1181730.98
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,TRANSPORTATION OF THINGS,12.88,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,2381567.21,1067173.4
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,OTHER SERVICES,1165.26,1165.26
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,5612.17,4879.85
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,EQUIPMENT,11871.56,11871.56
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,2400229.08,1085090.07
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,TRANSPORTATION OF THINGS,128,128
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,RENT  COMMUNICATION  UTILITIES,1300,1300
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,OTHER SERVICES,361780.9,193761.93
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,8550.16,1187.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,EQUIPMENT,503715.33,104716.2
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,875474.39,301093.63
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CONSOLIDATED SERVICE CENTER,EQUIPMENT,24767.31,24767.31
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CONSOLIDATED SERVICE CENTER,CONSOLIDATED SERVICE CENTER TOTALS:,24767.31,24767.31
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CARPET SERVICES,EQUIPMENT,42833.58,59309.47
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CARPET SERVICES,CARPET SERVICES TOTALS:,42833.58,59309.47
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,DRAPERY SERVICES,TRANSPORTATION OF THINGS,4200,4200
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,DRAPERY SERVICES,EQUIPMENT,-13466.25,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,DRAPERY SERVICES,DRAPERY SERVICES TOTALS:,-9266.25,4200
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,FINISH SCHEDULE,SUPPLIES AND MATERIALS,54008.87,42199.87
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,FINISH SCHEDULE,EQUIPMENT,30189.27,5663.41
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,84198.14,47863.28
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,403370.25,237746.84
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q2,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,403370.25,237746.84
