BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,DESCRIPTION,YTD,AMOUNT
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE AND BACKUPS,OTHER SERVICES,79098.84,79098.84
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE AND BACKUPS,EQUIPMENT,301403.35,266099.4
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ENTERPRISE STORAGE AND BACKUPS,ENTERPRISE STORAGE AND BACKUPS TOTALS:,380502.19,345198.24
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,12157.97,11388.2
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HRS FLOOR COVERAGE,EQUIPMENT,5241.3,3480
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,17399.27,14868.2
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,2673.31,2662.69
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HOUSE RECORDING STUDIO OPS,EQUIPMENT,3618,3618
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,6291.31,6280.69
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,7344.28,5470.62
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELECOMMUNICATIONS,OTHER SERVICES,35786,35786
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELECOMMUNICATIONS,EQUIPMENT,418108.48,313581.36
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,461238.76,354837.98
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,NETWORK SERVICES,OTHER SERVICES,34933.27,34933.27
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,NETWORK SERVICES,SUPPLIES AND MATERIALS,4600.02,4600.02
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,NETWORK SERVICES,EQUIPMENT,1252833.42,1246008.03
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,NETWORK SERVICES,NETWORK SERVICES TOTALS:,1292366.71,1285541.32
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WIDE AREA NETWORK,TRANSPORTATION OF THINGS,12.88,12.88
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,1314393.81,931523.15
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,732.32,732.32
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,1315139.01,932268.35
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAMPUS NETWORKING,OTHER SERVICES,168018.97,137845.98
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,7362.66,7362.66
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAMPUS NETWORKING,EQUIPMENT,398999.13,398544.13
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,574380.76,543752.77
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CARPET SERVICES,EQUIPMENT,-16475.89,-16475.89
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CARPET SERVICES,CARPET SERVICES TOTALS:,-16475.89,-16475.89
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,DRAPERY SERVICES,EQUIPMENT,-13466.25,-13466.25
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,DRAPERY SERVICES,DRAPERY SERVICES TOTALS:,-13466.25,-13466.25
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,FINISH SCHEDULE,SUPPLIES AND MATERIALS,11809,11809
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,FINISH SCHEDULE,EQUIPMENT,24525.86,24525.86
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,36334.86,36334.86
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,165623.41,165623.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,165623.41,165623.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,BENEFITS AND COMPENSATION,OTHER SERVICES,1980,1980
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,BENEFITS AND COMPENSATION,EQUIPMENT,219487.38,17425.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,221467.38,19405.41
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ACCESS INFO SYST TECH SERVICES,SUPPLIES AND MATERIALS,207,207
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,36842.94,36842.94
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ACCESS INFO SYST TECH SERVICES,ACCESS INFO SYST TECH SERVICES TOTALS:,37049.94,37049.94
,CHIEF ADMIN OFCR OF THE HOUSE,2017,2017Q1,ACCESS INFO SYST TECH SERVICES,OFFICE TOTALS:,42076781.05,24627365.56
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,9739459.29,4895300.43
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,8076.98,5246.08
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,74254.76,44600.66
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,10725.93,7974.37
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,411370.98,264373.71
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,85460.37,27036.33
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,216430.85,170812.06
,CLERK OF THE HOUSE,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,10545779.16,5415343.64
,CLERK OF THE HOUSE,2017,2017Q1,RECEPTIONS,OTHER SERVICES,150,150
,CLERK OF THE HOUSE,2017,2017Q1,RECEPTIONS,SUPPLIES AND MATERIALS,1162.2,1162.2
,CLERK OF THE HOUSE,2017,2017Q1,RECEPTIONS,RECEPTIONS TOTALS:,1312.2,1312.2
,CLERK OF THE HOUSE,2017,2017Q1,FAMILY ROOM,SUPPLIES AND MATERIALS,9234.02,9070.85
,CLERK OF THE HOUSE,2017,2017Q1,FAMILY ROOM,FAMILY ROOM TOTALS:,9234.02,9070.85
,CLERK OF THE HOUSE,2017,2017Q1,FAMILY ROOM,OFFICE TOTALS:,10556325.38,5425726.69
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,534310.17,265323.22
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,TRAVEL,1032.88,132.31
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,3700.94,2430.19
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,2115.9,29.95
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OTHER SERVICES,56143.86,31555.8
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,20002.21,13081.18
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,5500.73,2402.86
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,622806.69,314955.51
,OFFICE OF GENERAL COUNSEL,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,622806.69,314955.51
,SERGEANT AT ARMS,2017,2017Q1,PERSONNEL,PERSONNEL COMPENSATION,4714869.12,2392335.07
,SERGEANT AT ARMS,2017,2017Q1,PERSONNEL,PERSONNEL TOTALS:,4714869.12,2392335.07
,SERGEANT AT ARMS,2017,2017Q1,RECEPTIONS,OTHER SERVICES,161.9,161.9
,SERGEANT AT ARMS,2017,2017Q1,RECEPTIONS,SUPPLIES AND MATERIALS,156.44,156.44
,SERGEANT AT ARMS,2017,2017Q1,RECEPTIONS,RECEPTIONS TOTALS:,318.34,318.34
,SERGEANT AT ARMS,2017,2017Q1,RECEPTIONS,OFFICE TOTALS:,4715187.46,2392653.41
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,635649.96,323824.98
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,RENT  COMMUNICATION  UTILITIES,10755.11,6585.38
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PRINTING AND REPRODUCTION,12.8,6.4
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SUPPLIES AND MATERIALS,2801.02,2185.53
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,EQUIPMENT,2352,1176
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,651570.89,333778.29
,OFFICE OF THE PARLIAMENTARIAN,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,651570.89,333778.29
,COMPILATION OF PRECEDENTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,236499.99,120499.98
,COMPILATION OF PRECEDENTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,236499.99,120499.98
,COMPILATION OF PRECEDENTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,236499.99,120499.98
,TECHNICAL ASSISTANTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,232053.54,116026.77
,TECHNICAL ASSISTANTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,232053.54,116026.77
,TECHNICAL ASSISTANTS,2017,2017Q1,SALARIES  OFFICERS & EMPLOYEES,OFFICE TOTALS:,232053.54,116026.77
,FORMER SPEAKER'S STAFF,2017,2017Q1,FORMER SPEAKER BOEHNER,PERSONNEL COMPENSATION,26414.34,0
,FORMER SPEAKER'S STAFF,2017,2017Q1,FORMER SPEAKER BOEHNER,RENT  COMMUNICATION  UTILITIES,1273.94,-201.95
,FORMER SPEAKER'S STAFF,2017,2017Q1,FORMER SPEAKER BOEHNER,SUPPLIES AND MATERIALS,98.58,0
,FORMER SPEAKER'S STAFF,2017,2017Q1,FORMER SPEAKER BOEHNER,FORMER SPEAKER BOEHNER TOTALS:,27786.86,-201.95
,FORMER SPEAKER'S STAFF,2017,2017Q1,FORMER SPEAKER BOEHNER,OFFICE TOTALS:,27786.86,-201.95
,OFFICE OF INSPECTOR GENERAL,2017,2017Q1,TRAINING  PERSONNEL & DEVELOP,TRAVEL,4602.31,421.19
,OFFICE OF INSPECTOR GENERAL,2017,2017Q1,TRAINING  PERSONNEL & DEVELOP,OTHER SERVICES,17899.5,8061
,OFFICE OF INSPECTOR GENERAL,2017,2017Q1,TRAINING  PERSONNEL & DEVELOP,TRAINING  PERSONNEL & DEVELOP TOTALS:,22501.81,8482.19
