BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,84244.03,50142.7
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,25408.12,1233.04
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,1110714.69,594995.85
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,1110714.69,594995.85
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,890758.74,470567.47
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,5946.31,5946.31
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,11502.22,4168.5
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4867.26,824.49
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,44609.33,22156.94
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10382.19,1021.35
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,9304.84,6323.07
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,977370.89,511008.13
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OFFICE TOTALS:,977370.89,511008.13
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,604697.65,360316.71
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,9702.85,7632.52
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,77692.57,67064.58
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3764.67,3463.17
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,14404.22,14404.22
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,86239.14,65621.29
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,21746.54,11601.54
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,818247.64,530104.03
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OFFICE TOTALS:,818247.64,530104.03
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,631914.96,343477.75
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,462.97,37.74
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT  COMMUNICATION  UTILITIES,9823.55,5282.17
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1613.85,484.45
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,24345.51,11616.14
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,65770.36,33829
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,23916.88,16990.88
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,GENERAL EXPENDITURES TOTALS:,757848.08,411718.13
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OFFICE TOTALS:,757848.08,411718.13
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,SUPPLIES AND MATERIALS,27690,27690
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,ENTERPRISE LICENSES TOTALS:,27690,27690
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,51851819.93,17863967.87
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES  OFFICERS & EMPLOYEES,SALARIES  OFFICERS & EMPLOYEES TOTALS:,51851819.93,17863967.87
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,177940.6,71502.3
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,236363.21,136779.29
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,FURNITURE AND REFURBISHMENT TOTALS:,414303.81,208281.59
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,183387.76,85813.04
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,1779.12,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT  COMMUNICATION  UTILITIES,714269.68,255347.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,35050.81,14154.19
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,1879543.92,637410.88
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,822275.9,106898.73
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,420557.88,138978.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,ADMIN AND OPS TOTALS:,4056865.07,1238603.01
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,RENT  COMMUNICATION  UTILITIES,33620.69,11428.44
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,OTHER SERVICES,1985308.73,743386.36
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,EQUIPMENT,108499.86,36203.34
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,LIBRARY OF CONGRESS MAILREIMB,LIBRARY OF CONGRESS MAILREIMB TOTALS:,2127429.28,791018.14
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,1565.98,1565.98
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,AOC MAIL IPAC TOTALS:,1565.98,1565.98
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,15715.5,2478
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,321.88,75.02
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,16037.38,2553.02
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,OTHER SERVICES,45402.56,39402.56
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,35.35,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,18852.22,14817.22
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,CONGRESSIONAL STAFF ACADEMY TOTALS:,64290.13,54219.78
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,215461.7,109063.3
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,SUPPLIES AND MATERIALS,837.5,382.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,EQUIPMENT,35640.26,6912.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,251939.46,116358.3
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,378552.66,261968.68
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,EQUIPMENT,43736.44,4760.38
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,422289.1,266729.06
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,152651.18,125734.19
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,SUPPLIES AND MATERIALS,316.94,316.94
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,EQUIPMENT,230638.39,230638.39
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,383606.51,356689.52
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,117596,106886
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,627762.22,191099.57
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,745358.22,297985.57
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,5815.31,5815.31
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,EQUIPMENT,4505.24,4505.24
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,10320.55,10320.55
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,627750,434250
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,627750,434250
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,SUPPLIES AND MATERIALS,199,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,560838.06,533316.01
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,ENTERPRISE DATA STORAGE TOTALS:,561037.06,533316.01
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,OTHER SERVICES,14891.76,14891.76
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,102188.25,90022.9
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,ENTERPRISE INFRASTRUCTURE TECH TOTALS:,117080.01,104914.66
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,TRAVEL,1784.49,114
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,CAO PRIVACY PROGRAM TOTALS:,1784.49,114
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,OTHER SERVICES,100500,88000
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,SUPPLIES AND MATERIALS,198.04,198.04
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,EQUIPMENT,72583.85,68629.25
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,MODULAR FURNITURE,MODULAR FURNITURE TOTALS:,173281.89,156827.29
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,TRAVEL,4,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,PRINTING AND REPRODUCTION,502.2,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,OTHER SERVICES,83708.35,83708.35
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,SUPPLIES AND MATERIALS,19630.25,3502.98
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,41055.67,41055.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,ASSET OPERATIONS TOTALS:,144900.47,128267
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,198014.37,74179.07
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,EQUIPMENT,9645.78,6436.81
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,CABINET & FINISHING SERVICES TOTALS:,207660.15,80615.88
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,795922,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,795922,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,OTHER SERVICES,66889.52,55921.75
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,CAO IT SERVICE MANAGEMENT TOTALS:,66889.52,55921.75
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,2919.62,2919.62
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,1412.96,993.96
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,9552.78,294.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,13885.36,4208.08
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,OTHER SERVICES,12435.2,12435.2
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,SUPPLIES AND MATERIALS,822.5,822.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,EQUIPMENT,184.5,184.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,ENTERPRISE AUTH & MONITORING TOTALS:,13442.2,13442.2
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,SUPPLIES AND MATERIALS,19578.47,19578.47
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,73841.94,73841.94
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,93420.41,93420.41
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,57709.67,57709.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,57709.67,57709.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,OTHER SERVICES,1749.3,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,23518.93,21.95
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,EQUIPMENT,66428.08,455.16
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,91696.31,477.11
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,2397.93,1052.49
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,EQUIPMENT,122242,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,124639.93,1052.49
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,TRAVEL,5551.88,4303.48
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,PRINTING AND REPRODUCTION,3499.16,0
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,2030,645
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,137.41,137.41
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,HOUSE WELLNESS PROGRAM TOTALS:,11218.45,5085.89
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,OTHER SERVICES,54625,34183.75
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,SUPPLIES AND MATERIALS,10766.5,10766.5
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,ENTERPRISE ARCHITECTURE TOTALS:,65391.5,44950.25
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,205948.25,201664.13
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,28758.12,9430.77
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,SUPPLIES AND MATERIALS,1928.55,169.05
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,635357.92,321776.56
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,871992.84,533040.51
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,TRAVEL,290.67,290.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,220948.51,188446.23
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,177267.14,134004.8
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,2105937.51,610207.16
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,2504443.83,932948.86
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,1154580.03,471145.42
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,37090.05,20517.9
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,87.89,87.89
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,1191757.97,491751.21
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,295342.13,172878.18
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,28960.62,18529.44
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,351050.66,249329.67
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,675353.41,440737.29
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,OTHER SERVICES,8239.91,8239.91
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,EQUIPMENT,26634.13,26634.13
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CONSOLIDATED SERVICE CENTER,CONSOLIDATED SERVICE CENTER TOTALS:,34874.04,34874.04
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,OTHER SERVICES,11977.55,4732.6
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,12218.76,6594.37
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,134587.94,147774.29
