BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,CABINET & FINISHING SERVICES TOTALS:,97754.27,71416.73
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,751000,24929.36
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,751000,24929.36
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,OTHER SERVICES,300,300
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAO IT SERVICE MANAGEMENT,CAO IT SERVICE MANAGEMENT TOTALS:,300,300
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,721.66,487.66
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,8074.97,7141.68
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,8796.63,7629.34
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,OTHER SERVICES,19296,19296
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,40295.4,31438.32
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,59591.4,50734.32
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,8455.42,8455.42
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,8455.42,8455.42
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,195368.61,160732.51
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,359674.85,307090.85
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,FURNITURE AND REFURBISHMENT TOTALS:,555043.46,467823.36
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,2493.35,1044.35
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,EQUIPMENT,50478.37,48100.37
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,52971.72,49144.72
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,2808.32,1798.34
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,EQUIPMENT,4531.75,523.6
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,7340.07,2321.94
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,TRAVEL,1424.59,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,PRINTING AND REPRODUCTION,639.26,639.26
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,1541.22,489.83
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,HOUSE WELLNESS PROGRAM TOTALS:,3605.07,1129.09
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,OTHER SERVICES,89081.46,89081.46
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,HOUSE-WIDE TRAINING PROGRAMS TOTALS:,89081.46,89081.46
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CLOUD SERVICES,OTHER SERVICES,895.43,895.43
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CLOUD SERVICES,SUPPLIES AND MATERIALS,486.39,486.39
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CLOUD SERVICES,CLOUD SERVICES TOTALS:,1381.82,1381.82
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,144250.46,107971.34
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,3629.14,3629.14
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,457351.94,348239.04
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,605231.54,459839.52
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,177534.17,162627.92
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,180618.6,180618.6
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,1296671.56,1278534.02
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,1654824.33,1621780.54
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,596373.69,330796.87
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,2000,0
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,3293.2,3293.2
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,601666.89,334090.07
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,48785.44,48485.44
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,5659.99,3373.69
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,81815.79,81815.79
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,136261.22,133674.92
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,OTHER SERVICES,7369.95,5064
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,SUPPLIES AND MATERIALS,14469.28,5853.28
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,EQUIPMENT,94444.27,84315.35
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CARPET SERVICES,CARPET SERVICES TOTALS:,116283.5,95232.63
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,TRANSPORTATION OF THINGS,1708.74,1708.74
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,SUPPLIES AND MATERIALS,12258.72,6297.46
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,EQUIPMENT,63478.28,60056.63
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,DRAPERY & UPHOLSTERY SERVICES,DRAPERY & UPHOLSTERY SERVICES TOTALS:,77445.74,68062.83
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,SUPPLIES AND MATERIALS,11671.99,10918.91
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,EQUIPMENT,119824.58,119824.58
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,FINISH SCHEDULE,FINISH SCHEDULE TOTALS:,131496.57,130743.49
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,OTHER SERVICES,386927.17,386927.17
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,CENTRAL WAREHOUSE/RCVG INIT,CENTRAL WAREHOUSE/RCVG INIT TOTALS:,386927.17,386927.17
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,OTHER SERVICES,14287.5,14287.5
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,EQUIPMENT,489370.02,40196.96
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,BENEFITS AND COMPENSATION,BENEFITS AND COMPENSATION TOTALS:,503657.52,54484.46
,FISCAL YEAR 2020 CHIEF ADMIN OFCR OF THE HOUSE,ACCESS INFO SYST TECH SERVICES,EQUIPMENT,152756.64,152756.64
