BIOGUIDE_ID,OFFICE,PROGRAM,CATEGORY,YTD,AMOUNT
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE SYSTEMS,OTHER SERVICES,38738.7,33808.32
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE SYSTEMS,EQUIPMENT,221113.88,65035.32
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE SYSTEMS,ENTERPRISE STORAGE SYSTEMS TOTALS:,267755.17,98843.64
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,TRAVEL,2512.99,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,696079.63,22050
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,620854,143403.99
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,1319446.62,165453.99
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,51584.52,-211.48
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,51584.52,-211.48
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,OTHER SERVICES,5000,5000
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,194320,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,199320,5000
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,EQUIPMENT,329124.65,329124.65
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE DATA STORAGE,ENTERPRISE DATA STORAGE TOTALS:,329124.65,329124.65
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,80661.76,29305.65
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,2029613.34,1372811.35
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,MAIL AND PACKAGE DELIVERY,EQUIPMENT,287918.44,95666.82
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,2398193.54,1497783.82
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,FEDERAL OFFICE BUILDING 8,OTHER SERVICES,149627,67915
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,FEDERAL OFFICE BUILDING 8,SUPPLIES AND MATERIALS,2101,477.5
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,FEDERAL OFFICE BUILDING 8,EQUIPMENT,2755.46,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,FEDERAL OFFICE BUILDING 8,FEDERAL OFFICE BUILDING 8 TOTALS:,154483.46,68392.5
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,TRAVEL,1716.28,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,SUPPLIES AND MATERIALS,1000,1000
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,CAO PRIVACY PROGRAM,CAO PRIVACY PROGRAM TOTALS:,2716.28,1000
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,DIGITAL MAIL,OTHER SERVICES,1151822.91,652890.78
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,DIGITAL MAIL,DIGITAL MAIL TOTALS:,1151822.91,652890.78
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,670194,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,670194,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPLIES AND MATERIALS,1078.3,190.36
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,10860.93,4257
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,11939.23,4447.36
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,EQUIPMENT,90641.2,70708.38
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE AUTH & MONITORING,ENTERPRISE AUTH & MONITORING TOTALS:,90641.2,70708.38
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,OTHER SERVICES,3000,3000
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,SUPPLIES AND MATERIALS,18582.47,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,163781.75,40971.41
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,185364.22,43971.41
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE AND BACKUPS,OTHER SERVICES,191348.77,54624.99
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE AND BACKUPS,EQUIPMENT,790525.05,528880.44
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE STORAGE AND BACKUPS,ENTERPRISE STORAGE AND BACKUPS TOTALS:,981873.82,583505.43
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,107109.02,42109.02
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,107109.02,42109.02
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,5012.67,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,EQUIPMENT,81720,56418
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,86732.67,56418
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,OTHER SERVICES,170000,82926.18
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,9470.32,5183.8
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,EQUIPMENT,101725.85,101725.85
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,281196.17,189835.83
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,15459.35,7008.51
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,550.81,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,HOUSE WELLNESS PROGRAM TOTALS:,16010.16,7008.51
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,TRAVEL,2320.37,1121.81
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,PRINTING AND REPRODUCTION,156750,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,OTHER SERVICES,666356.65,17674.44
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE-WIDE TRAINING PROGRAMS,HOUSE-WIDE TRAINING PROGRAMS TOTALS:,825427.02,18796.25
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,TRAVEL,1250,1250
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,OTHER SERVICES,9672.56,9672.56
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,EQUIPMENT,46990.44,46990.44
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE ARCHITECTURE,ENTERPRISE ARCHITECTURE TOTALS:,57913,57913
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,41656.3,5965.71
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,4486,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,1313072.62,581382.78
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,1359214.92,587348.49
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,TRAVEL,1145.79,0
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,1964297.32,1440929.54
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,504027.78,182073.1
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,3177798.19,1434694.17
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,NETWORK SERVICES TOTALS:,5647269.08,3057696.81
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,TRANSPORTATION OF THINGS,45,45
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,2031373.18,409003.31
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,OTHER SERVICES,125517.31,124118.31
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,47234.23,42408.74
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,EQUIPMENT,1213582.68,1058659.11
