BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SAFETY PROGRAM,PRINTING AND REPRODUCTION,77.18,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SAFETY PROGRAM,OTHER SERVICES,14034,4690.25
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,2134.62,203.76
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SAFETY PROGRAM,EQUIPMENT,1345.06,1345.06
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SAFETY PROGRAM,CAO SAFETY PROGRAM TOTALS:,17590.86,6239.07
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WEB SOLUTIONS,RENT  COMMUNICATION  UTILITIES,160.6,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WEB SOLUTIONS,OTHER SERVICES,268239.33,159581.03
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WEB SOLUTIONS,SUPPLIES AND MATERIALS,2613.24,2425.24
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WEB SOLUTIONS,EQUIPMENT,66534.79,15027.7
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WEB SOLUTIONS,WEB SOLUTIONS TOTALS:,337547.96,177033.97
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,PEOPLESOFT FINANCIALS,OTHER SERVICES,611147.15,284150.48
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,PEOPLESOFT FINANCIALS,EQUIPMENT,219326.88,143071.52
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,PEOPLESOFT FINANCIALS,PEOPLESOFT FINANCIALS TOTALS:,830474.03,427222
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,REMEDY/CTS ACTIVITY,EQUIPMENT,236419.2,203332.91
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,REMEDY/CTS ACTIVITY,REMEDY/CTS ACTIVITY TOTALS:,236419.2,203332.91
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE SYSTEMS,OTHER SERVICES,53500,53500
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE SYSTEMS,SUPPLIES AND MATERIALS,2121.68,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE SYSTEMS,EQUIPMENT,330698.45,116950.64
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE SYSTEMS,ENTERPRISE STORAGE SYSTEMS TOTALS:,386320.13,170450.64
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,665100,269687
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE TECHNOLOGY SYSTEMS,SUPPLIES AND MATERIALS,147.84,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE TECHNOLOGY SYSTEMS,EQUIPMENT,453220.24,28611
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE TECHNOLOGY SYSTEMS,ENTERPRISE TECHNOLOGY SYSTEMS TOTALS:,1118468.08,298298
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SEAT MANAGEMENT,SUPPLIES AND MATERIALS,6366.4,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SEAT MANAGEMENT,EQUIPMENT,83925.95,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SEAT MANAGEMENT,CAO SEAT MANAGEMENT TOTALS:,90292.35,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUBSCRIPTIONS,OTHER SERVICES,5000,5000
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUBSCRIPTIONS,SUPPLIES AND MATERIALS,772500,579500
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUBSCRIPTIONS,EQUIPMENT,7205,7205
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUBSCRIPTIONS,SUBSCRIPTIONS TOTALS:,784705,591705
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TECHNICAL MANAGEMENT,EQUIPMENT,97550.5,97550.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TECHNICAL MANAGEMENT,TECHNICAL MANAGEMENT TOTALS:,97550.5,97550.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MAIL AND PACKAGE DELIVERY,RENT  COMMUNICATION  UTILITIES,29338.26,28944.59
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MAIL AND PACKAGE DELIVERY,OTHER SERVICES,2287753.82,1801471.41
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MAIL AND PACKAGE DELIVERY,EQUIPMENT,177261.82,93015.05
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,MAIL AND PACKAGE DELIVERY,MAIL AND PACKAGE DELIVERY TOTALS:,2494353.9,1923431.05
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FEDERAL OFFICE BUILDING 8,SUPPLIES AND MATERIALS,3594.18,3594.18
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FEDERAL OFFICE BUILDING 8,EQUIPMENT,13124.07,9886.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,FEDERAL OFFICE BUILDING 8,FEDERAL OFFICE BUILDING 8 TOTALS:,16718.25,13480.68
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO PRIVACY PROGRAM,TRAVEL,65,65
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO PRIVACY PROGRAM,PRINTING AND REPRODUCTION,51.9,51.9
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO PRIVACY PROGRAM,OTHER SERVICES,1195,1195
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO PRIVACY PROGRAM,CAO PRIVACY PROGRAM TOTALS:,1311.9,1311.9
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,DIGITAL MAIL,OTHER SERVICES,1087926.79,870521.04
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,DIGITAL MAIL,DIGITAL MAIL TOTALS:,1087926.79,870521.04
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELEPHONE OPERATORS,OTHER SERVICES,644095,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELEPHONE OPERATORS,TELEPHONE OPERATORS TOTALS:,644095,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SOFTWARE ASSET MGT,SUPPLIES AND MATERIALS,15147,15147
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAO SOFTWARE ASSET MGT,CAO SOFTWARE ASSET MGT TOTALS:,15147,15147
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUPPORT SYSTEMS OPERATIONS,EQUIPMENT,6009.25,3986.68
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,SUPPORT SYSTEMS OPERATIONS,SUPPORT SYSTEMS OPERATIONS TOTALS:,6009.25,3986.68
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE AUTH & MONITORING,EQUIPMENT,97262.63,78668.88
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE AUTH & MONITORING,ENTERPRISE AUTH & MONITORING TOTALS:,97262.63,78668.88
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE MOBILITY AND E-FAX,OTHER SERVICES,19585,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE MOBILITY AND E-FAX,EQUIPMENT,640549.88,505037.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE MOBILITY AND E-FAX,ENTERPRISE MOBILITY AND E-FAX TOTALS:,660134.88,505037.5
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE AND BACKUPS,OTHER SERVICES,206429.39,56939.52
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE AND BACKUPS,EQUIPMENT,1045472.75,486884.74
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,ENTERPRISE STORAGE AND BACKUPS,ENTERPRISE STORAGE AND BACKUPS TOTALS:,1251902.14,543824.26
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HRS COMMITTEE BROADCAST OPS,OTHER SERVICES,85000,50948.94
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HRS COMMITTEE BROADCAST OPS,HRS COMMITTEE BROADCAST OPS TOTALS:,85000,50948.94
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HRS FLOOR COVERAGE,SUPPLIES AND MATERIALS,14703.02,1737.2
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HRS FLOOR COVERAGE,EQUIPMENT,17346.3,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HRS FLOOR COVERAGE,HRS FLOOR COVERAGE TOTALS:,32049.32,1737.2
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HOUSE RECORDING STUDIO OPS,OTHER SERVICES,145479.96,60479.96
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HOUSE RECORDING STUDIO OPS,SUPPLIES AND MATERIALS,3673.21,90
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HOUSE RECORDING STUDIO OPS,EQUIPMENT,7999.92,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,HOUSE RECORDING STUDIO OPS,HOUSE RECORDING STUDIO OPS TOTALS:,157153.09,60569.96
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,TRANSPORTATION OF THINGS,24.87,24.87
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,RENT  COMMUNICATION  UTILITIES,27915.89,13801.03
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,OTHER SERVICES,56684.93,10602.93
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,SUPPLIES AND MATERIALS,418.89,418.89
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,EQUIPMENT,1171625.14,439935.3
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,TELECOMMUNICATIONS,TELECOMMUNICATIONS TOTALS:,1256669.72,464783.02
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,NETWORK SERVICES,TRAVEL,5000,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,NETWORK SERVICES,OTHER SERVICES,107743.7,15722.02
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,NETWORK SERVICES,SUPPLIES AND MATERIALS,53379.15,836.52
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,NETWORK SERVICES,EQUIPMENT,3202132.55,877599.17
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,NETWORK SERVICES,NETWORK SERVICES TOTALS:,3368255.4,894157.71
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,TRANSPORTATION OF THINGS,12.88,0
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,RENT  COMMUNICATION  UTILITIES,2783568.82,402001.61
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,OTHER SERVICES,29574.66,28409.4
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,SUPPLIES AND MATERIALS,10412.17,4800
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,EQUIPMENT,38375.08,26503.52
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,WIDE AREA NETWORK,WIDE AREA NETWORK TOTALS:,2861943.61,461714.53
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,TRANSPORTATION OF THINGS,453,325
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,RENT  COMMUNICATION  UTILITIES,0,-1300
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,OTHER SERVICES,531446.19,169665.29
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,SUPPLIES AND MATERIALS,22268.83,13718.67
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,EQUIPMENT,755738.94,252023.61
,FISCAL YEAR 2017 CHIEF ADMIN OFCR OF THE HOUSE,2017,Q3,CAMPUS NETWORKING,CAMPUS NETWORKING TOTALS:,1309906.96,434432.57
